Rank;Full Journal Title;JCR Abbreviated Title;Issn;Total Cites;Journal Impact Factor;Impact Factor without Journal Self Cites;5-Year Impact Factor;Immediacy Index;Citable Items;Cited Half-life;Citing Half-life;Eigenfactor Score;Article Influence Score;% Articles in Citable Items;Average Journal Impact Factor Percentile;Normalized Eigenfactor
4535;JOURNAL OF SOIL AND WATER CONSERVATION;J SOIL WATER CONSERV;0022-4561;3,037;1.752;1.555;2.347;0.518;56;>10.0;8.9;0.003340;0.703;100.000;58.484;0.38025
4535;MOLECULAR BIOTECHNOLOGY;MOL BIOTECHNOL;1073-6085;2,629;1.752;1.685;1.893;0.53;100;7.2;8.9;0.004060;0.477;93.000;31.053;0.46298
4535;SOIL SCIENCE SOCIETY OF AMERICA JOURNAL;SOIL SCI SOC AM J;0361-5995;20,495;1.752;1.545;2.201;0.38;171;>10.0;>10.0;0.012300;0.721;99.420;60.294;1.40213
4539;AEROSPACE SCIENCE AND TECHNOLOGY;AEROSP SCI TECHNOL;1270-9638;2,159;1.751;1.409;1.698;0.235;310;4.9;9.6;0.005270;0.526;99.680;95.000;0.60077
4539;IEEE Antennas and Wireless Propagation Letters;IEEE ANTENN WIREL PR;1536-1225;5,502;1.751;1.481;1.806;0.288;451;4.3;6.6;0.026090;0.843;100.000;69.478;2.97417
4541;AUSTRALIAN JOURNAL OF EARTH SCIENCES;AUST J EARTH SCI;0812-0099;2,289;1.750;1.518;1.898;0.293;58;>10.0;>10.0;0.002980;0.692;94.830;55.707;0.34000
4541;BIOETHICS;BIOETHICS;0269-9702;1,218;1.750;1.500;1.684;0.481;77;6.6;8.4;0.002080;0.469;100.000;76.598;0.23749
4541;BIOETHICS;BIOETHICS;0269-9702;1,218;1.750;1.500;1.684;0.481;77;6.6;8.4;0.002080;0.469;100.000;76.598;0.23749
4541;European Management Review;EUR MANAG REV;1740-4754;342;1.750;1.750;2.000;0.0;12;6.5;>10.0;0.000790;0.703;83.330;59.635;0.08967
4541;GEOFLUIDS;GEOFLUIDS;1468-8115;961;1.750;1.500;2.516;1.865;37;6.1;>10.0;0.002410;0.991;100.000;59.745;0.27492
4541;JOURNAL OF MEDICAL SCREENING;J MED SCREEN;0969-1413;1,278;1.750;1.550;2.789;0.483;29;8.6;7.1;0.003680;1.468;100.000;56.936;0.41990
4541;LANGUAGE;LANGUAGE;0097-8507;2,817;1.750;1.667;2.897;0.542;24;>10.0;>10.0;0.002740;1.691;95.830;92.541;0.31188
4541;ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL;ORG PREP PROCED INT;0030-4948;1,064;1.750;1.486;1.754;0.829;35;>10.0;10.0;0.000700;0.278;74.290;41.525;0.07992
4541;Special Papers in Palaeontology Series;SPEC PAP PALAEONTOL;0038-6804;437;1.750;1.750;1.868;Not Available;0;>10.0;Not Available;0.000350;0.616;Not Available;69.444;0.04037
4541;Youth Violence and Juvenile Justice;YOUTH VIOLENCE JUV J;1541-2040;527;1.750;1.575;1.942;0.304;23;7.1;>10.0;0.001180;0.750;100.000;78.070;0.13453
4551;METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE;METALL MATER TRANS A;1073-5623;20,111;1.749;1.501;1.951;0.352;577;>10.0;>10.0;0.024510;0.661;99.830;67.598;2.79403
4552;CLINICAL NEUROPHARMACOLOGY;CLIN NEUROPHARMACOL;0362-5664;1,887;1.748;1.699;1.932;0.241;54;>10.0;9.5;0.002330;0.528;0.000;33.475;0.26590
4553;JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME;J BIOMECH ENG-T ASME;0148-0731;6,454;1.747;1.603;1.745;0.316;155;>10.0;9.6;0.007410;0.607;96.130;39.675;0.84494
4553;NEURAL PROCESSING LETTERS;NEURAL PROCESS LETT;1370-4621;934;1.747;1.552;1.503;0.197;71;>10.0;8.4;0.001140;0.379;100.000;62.692;0.13010
4553;POLITICAL BEHAVIOR;POLIT BEHAV;0190-9320;1,389;1.747;1.573;2.604;0.268;41;9.8;>10.0;0.005160;2.082;100.000;82.515;0.58843
4556;NATURAL HAZARDS;NAT HAZARDS;0921-030X;6,419;1.746;1.374;2.054;0.32;622;4.5;8.9;0.014870;0.537;98.550;58.595;1.69468
4556;Proteome Science;PROTEOME SCI;1477-5956;1,002;1.746;1.697;2.034;0.333;33;4.6;7.9;0.002990;0.522;100.000;34.416;0.34040
4558;JOURNAL OF ANIMAL BREEDING AND GENETICS;J ANIM BREED GENET;0931-2668;1,152;1.745;1.670;1.593;0.531;49;7.9;8.7;0.001960;0.493;87.760;85.345;0.22358
4558;Journal of Environmental Policy & Planning;J ENVIRON POL PLAN;1523-908X;482;1.745;1.655;1.786;0.091;33;7.1;8.4;0.000900;0.509;100.000;59.135;0.10262
4558;Pain Management Nursing;PAIN MANAG NURS;1524-9042;999;1.745;1.404;2.294;0.155;110;5.3;8.3;0.001850;0.513;90.910;85.659;0.21057
4558;Pain Management Nursing;PAIN MANAG NURS;1524-9042;999;1.745;1.404;2.294;0.155;110;5.3;8.3;0.001850;0.513;90.910;85.659;0.21057
4562;JAMA Facial Plastic Surgery;JAMA FACIAL PLAST SU;2168-6076;273;1.744;1.410;1.744;1.088;57;1.8;7.5;0.000810;0.455;91.230;58.750;0.09178
4562;JOURNAL OF SECOND LANGUAGE WRITING;J SECOND LANG WRIT;1060-3743;1,006;1.744;1.116;2.830;0.304;23;9.5;8.6;0.001150;0.807;100.000;91.989;0.13073
4562;VLDB JOURNAL;VLDB J;1066-8888;1,717;1.744;1.615;2.500;0.167;36;8.6;8.3;0.003640;1.254;100.000;76.685;0.41505
4565;ANNALS OF OCCUPATIONAL HYGIENE;ANN OCCUP HYG;0003-4878;2,814;1.743;1.415;2.245;0.24;96;8.6;8.9;0.004140;0.620;98.960;42.901;0.47142
4565;Entropy;ENTROPY-SWITZ;1099-4300;2,099;1.743;1.391;1.780;0.394;434;2.7;8.9;0.007950;0.554;95.160;68.987;0.90647
4565;Journal of Plastic Reconstructive and Aesthetic Surgery;J PLAST RECONSTR AES;1748-6815;4,212;1.743;1.487;1.569;0.393;224;5.0;9.0;0.012610;0.497;93.300;58.250;1.43702
4568;ATMOSPHERE-OCEAN;ATMOS OCEAN;0705-5900;1,143;1.742;1.576;1.799;0.442;43;>10.0;9.0;0.001850;0.747;100.000;55.811;0.21111
4568;Australian Meteorological and Oceanographic Journal;AUST METEOROL OCEAN;1836-716X;280;1.742;1.419;1.212;0.364;22;4.0;6.4;0.001180;0.517;100.000;55.811;0.13451
4568;Gastroenterology Research and Practice;GASTROENT RES PRACT;1687-6121;1,274;1.742;1.716;1.949;0.339;218;3.1;7.5;0.004470;0.501;72.480;19.620;0.50953
4568;MEASUREMENT;MEASUREMENT;0263-2241;4,072;1.742;1.413;1.637;0.422;524;3.0;7.8;0.010390;0.386;97.330;68.157;1.18458
4572;Journal of Travel & Tourism Marketing;J TRAVEL TOUR MARK;1054-8408;1,551;1.741;1.595;2.339;0.2;75;7.1;>10.0;0.001570;0.374;93.330;73.864;0.17871
4572;TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY;TUNN UNDERGR SP TECH;0886-7798;2,632;1.741;1.324;2.005;0.239;159;6.7;10.0;0.004740;0.547;100.000;75.615;0.53993
4572;VETERINARY RECORD;VET REC;0042-4900;9,231;1.741;1.498;1.632;0.758;178;>10.0;7.4;0.009490;0.498;97.190;83.696;1.08202
4575;GRANULAR MATTER;GRANUL MATTER;1434-5021;1,258;1.740;1.468;1.926;0.164;61;5.5;>10.0;0.004260;0.774;100.000;58.591;0.48580
4576;AGRICULTURAL ECONOMICS;AGR ECON-BLACKWELL;0169-5150;2,021;1.739;1.609;1.701;0.109;64;8.7;>10.0;0.003480;0.681;100.000;86.240;0.39688
4576;AGRICULTURAL ECONOMICS;AGR ECON-BLACKWELL;0169-5150;2,021;1.739;1.609;1.701;0.109;64;8.7;>10.0;0.003480;0.681;100.000;86.240;0.39688
4576;BMC Endocrine Disorders;BMC ENDOCR DISORD;1472-6823;650;1.739;1.713;2.017;0.198;81;3.5;6.9;0.002100;0.603;96.300;21.429;0.23893
4576;JOURNAL OF ENGINEERING EDUCATION;J ENG EDUC;1069-4730;1,407;1.739;1.348;2.688;0.158;19;>10.0;10.0;0.001570;0.811;100.000;77.336;0.17882
4576;JOURNAL OF ENGINEERING EDUCATION;J ENG EDUC;1069-4730;1,407;1.739;1.348;2.688;0.158;19;>10.0;10.0;0.001570;0.811;100.000;77.336;0.17882
4576;UPSALA JOURNAL OF MEDICAL SCIENCES;UPSALA J MED SCI;0300-9734;680;1.739;1.648;1.877;0.154;26;4.9;>10.0;0.001860;0.541;88.460;65.484;0.21178
4582;AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS & GYNAECOLOGY;AUST NZ J OBSTET GYN;0004-8666;2,445;1.738;1.495;1.639;0.309;97;7.8;6.6;0.004470;0.562;92.780;46.875;0.50958
4582;BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE;BRIT J PHILOS SCI;0007-0882;1,151;1.738;1.631;1.737;0.389;36;>10.0;>10.0;0.001990;0.842;100.000;93.939;0.22640
4582;BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE;BRIT J PHILOS SCI;0007-0882;1,151;1.738;1.631;1.737;0.389;36;>10.0;>10.0;0.001990;0.842;100.000;93.939;0.22640
4585;BEHAVIORAL MEDICINE;BEHAV MED;0896-4289;617;1.737;1.711;1.945;0.875;24;>10.0;9.8;0.000880;0.641;100.000;36.691;0.10059
4585;BEHAVIORAL MEDICINE;BEHAV MED;0896-4289;617;1.737;1.711;1.945;0.875;24;>10.0;9.8;0.000880;0.641;100.000;36.691;0.10059
4585;IEEE TRANSACTIONS ON INFORMATION THEORY;IEEE T INFORM THEORY;0018-9448;27,366;1.737;1.236;2.350;0.329;444;>10.0;8.6;0.054300;1.378;100.000;69.025;6.18948
4585;INTERNATIONAL JOURNAL OF HEAT AND FLUID FLOW;INT J HEAT FLUID FL;0142-727X;4,811;1.737;1.588;2.112;0.295;129;8.7;>10.0;0.007170;0.814;100.000;66.628;0.81703
4585;JOURNAL OF SOUTH AMERICAN EARTH SCIENCES;J S AM EARTH SCI;0895-9811;2,693;1.737;1.392;2.041;0.452;146;9.2;>10.0;0.004070;0.573;100.000;54.620;0.46351
4585;PUBLIC HEALTH REPORTS;PUBLIC HEALTH REP;0033-3549;4,572;1.737;1.640;2.121;0.632;68;>10.0;7.8;0.007790;0.947;100.000;61.060;0.88763
4585;PUBLIC HEALTH REPORTS;PUBLIC HEALTH REP;0033-3549;4,572;1.737;1.640;2.121;0.632;68;>10.0;7.8;0.007790;0.947;100.000;61.060;0.88763
4585;VADOSE ZONE JOURNAL;VADOSE ZONE J;1539-1663;3,134;1.737;1.575;2.257;0.383;94;6.8;>10.0;0.007550;0.839;98.940;56.813;0.86031
4593;Cancer Biomarkers;CANCER BIOMARK;1574-0153;783;1.736;1.718;1.781;0.408;103;4.6;7.2;0.001810;0.386;94.170;21.831;0.20631
4593;INTERNATIONAL JOURNAL OF CHEMICAL KINETICS;INT J CHEM KINET;0538-8066;2,977;1.736;1.535;1.606;0.328;67;>10.0;>10.0;0.002470;0.460;100.000;32.986;0.28128
4593;PSYCHIATRIC GENETICS;PSYCHIAT GENET;0955-8829;1,072;1.736;1.690;1.963;0.394;33;7.3;8.6;0.002120;0.648;87.880;24.902;0.24142
4593;Radiology and Oncology;RADIOL ONCOL;1318-2099;473;1.736;1.464;1.602;0.211;57;3.4;7.7;0.001230;0.330;91.230;32.891;0.13973
4593;SOCIAL FORCES;SOC FORCES;0037-7732;5,820;1.736;1.620;2.588;0.406;64;>10.0;>10.0;0.007300;1.542;100.000;79.930;0.83188
4593;VETERINARY OPHTHALMOLOGY;VET OPHTHALMOL;1463-5216;1,883;1.736;1.315;1.638;0.29;100;7.5;>10.0;0.002870;0.413;99.000;82.971;0.32672
4599;BUSINESS ETHICS QUARTERLY;BUS ETHICS Q;1052-150X;1,281;1.735;1.294;3.375;0.308;13;>10.0;>10.0;0.001960;1.249;100.000;72.586;0.22395
4599;Language Acquisition;LANG ACQUIS;1048-9223;619;1.735;1.676;1.554;0.267;15;>10.0;>10.0;0.000770;0.782;93.330;91.436;0.08759
4599;PSYCHOTHERAPY;PSYCHOTHERAPY;0033-3204;1,991;1.735;1.523;2.907;0.759;54;7.9;9.7;0.004180;0.983;100.000;52.869;0.47607
4599;Proceedings of the Romanian Academy Series A-Mathematics Physics Technical Sciences Information Science;P ROMANIAN ACAD A;1454-9069;313;1.735;1.469;1.054;0.323;65;2.4;6.9;0.000910;0.233;100.000;70.635;0.10354
4603;ANNALS OF PROBABILITY;ANN PROBAB;0091-1798;4,677;1.734;1.606;1.868;0.543;81;>10.0;>10.0;0.013540;2.221;100.000;83.333;1.54285
4603;JOURNAL OF RECONSTRUCTIVE MICROSURGERY;J RECONSTR MICROSURG;0743-684X;1,571;1.734;1.098;1.455;0.322;87;7.5;8.8;0.002880;0.433;94.250;57.750;0.32813
4603;ORGANISMS DIVERSITY & EVOLUTION;ORG DIVERS EVOL;1439-6092;1,057;1.734;1.658;3.422;0.583;48;4.8;>10.0;0.003280;1.254;97.920;50.388;0.37398
4606;AMERICAN JOURNAL OF MEDICAL QUALITY;AM J MED QUAL;1062-8606;1,056;1.733;1.618;1.703;0.395;76;5.9;7.5;0.003590;0.803;100.000;51.705;0.40966
4606;ARCHIVES OF ORAL BIOLOGY;ARCH ORAL BIOL;0003-9969;5,902;1.733;1.562;1.925;0.302;222;9.7;9.6;0.007240;0.507;93.690;69.780;0.82523
4606;Current Issues in Tourism;CURR ISSUES TOUR;1368-3500;842;1.733;1.486;1.704;0.315;73;6.0;9.5;0.001460;0.415;91.780;71.591;0.16650
4606;JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION;J BIOMAT SCI-POLYM E;0920-5063;3,618;1.733;1.657;1.669;0.235;98;8.5;7.3;0.003690;0.350;98.980;45.375;0.42088
4606;JOURNAL OF PEDIATRIC SURGERY;J PEDIATR SURG;0022-3468;14,114;1.733;1.441;1.635;0.254;426;>10.0;8.6;0.017410;0.470;94.840;58.000;1.98384
4606;Journal of Developmental Origins of Health and Disease;J DEV ORIG HLTH DIS;2040-1744;417;1.733;1.676;1.500;0.569;65;2.9;8.1;0.001860;0.495;78.460;55.202;0.21172
4612;PATHOBIOLOGY;PATHOBIOLOGY;1015-2008;887;1.732;1.690;1.895;0.086;35;7.6;6.9;0.001410;0.514;80.000;31.158;0.16044
4612;PLASMID;PLASMID;0147-619X;1,695;1.732;1.500;1.569;0.404;52;>10.0;>10.0;0.001820;0.458;96.150;26.223;0.20704
4612;PRODUCTION AND OPERATIONS MANAGEMENT;PROD OPER MANAG;1059-1478;3,032;1.732;1.433;2.257;0.352;125;8.5;>10.0;0.006900;1.049;100.000;66.609;0.78674
4612;Theoretical Economics;THEOR ECON;1933-6837;327;1.732;1.679;1.780;0.31;29;4.6;>10.0;0.005750;3.486;100.000;81.014;0.65499
4616;ANNALES GEOPHYSICAE;ANN GEOPHYS-GERMANY;0992-7689;5,994;1.731;1.466;1.686;0.336;137;9.3;>10.0;0.009050;0.714;100.000;49.816;1.03200
4616;ARTIFICIAL INTELLIGENCE REVIEW;ARTIF INTELL REV;0269-2821;1,135;1.731;1.723;2.478;0.271;48;5.9;9.1;0.002590;0.751;91.670;61.923;0.29529
4616;HASTINGS CENTER REPORT;HASTINGS CENT REP;0093-0334;1,228;1.731;1.669;1.498;1.04;50;9.8;8.7;0.002790;0.724;100.000;65.112;0.31839
4616;HASTINGS CENTER REPORT;HASTINGS CENT REP;0093-0334;1,228;1.731;1.669;1.498;1.04;50;9.8;8.7;0.002790;0.724;100.000;65.112;0.31839
4616;JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS;J OPT SOC AM B;0740-3224;11,686;1.731;1.632;1.695;0.649;353;9.6;8.1;0.020170;0.599;100.000;55.000;2.29875
4621;EARLY CHILDHOOD RESEARCH QUARTERLY;EARLY CHILD RES Q;0885-2006;2,355;1.730;1.459;2.913;0.324;68;7.7;9.2;0.004590;1.054;98.530;68.398;0.52309
4621;MICROSCOPY AND MICROANALYSIS;MICROSC MICROANAL;1431-9276;3,023;1.730;1.603;2.026;0.255;165;5.2;9.3;0.010570;0.866;98.790;53.976;1.20445
4623;BIOMEDICAL CHROMATOGRAPHY;BIOMED CHROMATOGR;0269-3879;3,475;1.729;1.553;1.650;0.478;251;5.7;8.0;0.005590;0.355;97.610;32.976;0.63718
4623;MARINE STRUCTURES;MAR STRUCT;0951-8339;1,002;1.729;1.400;1.983;0.263;57;8.3;9.7;0.001800;0.690;98.250;85.317;0.20561
4625;DIGESTIVE SURGERY;DIGEST SURG;0253-4886;1,691;1.728;1.702;1.909;0.224;67;8.0;7.7;0.003030;0.627;92.540;37.552;0.34575
4625;POLAR RESEARCH;POLAR RES;0800-0395;1,173;1.728;1.630;1.765;0.277;47;>10.0;9.1;0.001930;0.682;85.110;51.919;0.21989
4627;Health Reports;HEALTH REP;0840-6529;1,060;1.727;1.636;4.202;0.353;17;6.0;7.3;0.002740;1.459;100.000;60.155;0.31179
4627;Health Reports;HEALTH REP;0840-6529;1,060;1.727;1.636;4.202;0.353;17;6.0;7.3;0.002740;1.459;100.000;60.155;0.31179
4627;Review of Research in Education;REV RES EDUC;0091-732X;704;1.727;1.636;2.096;1.0;10;>10.0;8.2;0.000850;1.085;100.000;86.364;0.09727
4630;Applied Sciences-Basel;APPL SCI-BASEL;2076-3417;238;1.726;1.575;1.773;0.087;126;2.8;6.3;0.000830;0.427;90.480;52.725;0.09416
4630;JOURNAL OF FINANCIAL MARKETS;J FINANC MARK;1386-4181;961;1.726;1.630;1.955;0.048;21;>10.0;>10.0;0.003840;1.894;100.000;80.319;0.43748
4632;AMERICAN ANTHROPOLOGIST;AM ANTHROPOL;0002-7294;3,292;1.725;1.099;1.564;0.32;50;>10.0;8.5;0.002660;0.747;84.000;77.976;0.30372
4632;JOURNAL OF LIMNOLOGY;J LIMNOL;1129-5767;916;1.725;1.539;1.645;0.322;59;5.2;>10.0;0.002420;0.510;98.310;57.500;0.27527
4632;JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION;J AM STAT ASSOC;0162-1459;26,402;1.725;1.581;3.142;0.233;133;>10.0;>10.0;0.033420;3.641;98.500;82.520;3.80902
4632;JOURNAL OF WILDLIFE MANAGEMENT;J WILDLIFE MANAGE;0022-541X;9,879;1.725;1.553;2.237;0.409;127;>10.0;>10.0;0.010010;0.723;99.210;61.165;1.14130
4636;Hepatobiliary & Pancreatic Diseases International;HEPATOB PANCREAT DIS;1499-3872;1,542;1.724;1.647;1.698;0.25;84;5.8;7.2;0.002940;0.426;86.900;17.089;0.33539
4636;JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A;J VAC SCI TECHNOL A;0734-2101;6,920;1.724;1.491;1.676;0.436;273;>10.0;9.9;0.007570;0.459;97.800;59.703;0.86240
4636;Physical Mesomechanics;PHYS MESOMECH;1029-9599;425;1.724;1.276;1.275;0.476;42;4.2;9.2;0.000690;0.242;100.000;70.673;0.07892
4639;ADVANCES IN PHYSIOLOGY EDUCATION;ADV PHYSIOL EDUC;1043-4046;968;1.723;1.386;1.481;0.088;57;8.4;9.6;0.001250;0.393;100.000;49.134;0.14213
4639;Frontiers in Neurorobotics;FRONT NEUROROBOTICS;1662-5218;154;1.723;1.489;Not Available;0.417;12;2.8;7.9;0.000780;Not Available;100.000;50.523;0.08929
4639;IEEE TRANSACTIONS ON COMPUTERS;IEEE T COMPUT;0018-9340;6,258;1.723;1.556;1.862;0.311;280;>10.0;7.8;0.011390;0.872;100.000;70.924;1.29842
4639;JOURNAL OF HEAT TRANSFER-TRANSACTIONS OF THE ASME;J HEAT TRANS-T ASME;0022-1481;9,831;1.723;1.601;1.788;0.313;163;>10.0;>10.0;0.010170;0.597;99.390;66.294;1.15869
4639;JOURNAL OF THORACIC IMAGING;J THORAC IMAG;0883-5993;1,171;1.723;1.643;1.368;0.708;48;7.6;6.5;0.002240;0.471;50.000;43.145;0.25570
4639;XENOBIOTICA;XENOBIOTICA;0049-8254;3,123;1.723;1.580;1.808;0.38;121;9.6;9.2;0.003910;0.476;100.000;30.539;0.44518
4645;Asia-Pacific Journal of Clinical Oncology;ASIA-PAC J CLIN ONCO;1743-7555;476;1.722;1.687;1.472;0.462;52;3.2;7.4;0.001670;0.389;88.460;20.892;0.19043
4645;Asia-Pacific Journal of Public Health;ASIA-PAC J PUBLIC HE;1010-5395;1,411;1.722;1.413;2.087;0.313;355;4.6;9.6;0.002670;0.439;97.750;59.539;0.30446
4645;Asia-Pacific Journal of Public Health;ASIA-PAC J PUBLIC HE;1010-5395;1,411;1.722;1.413;2.087;0.313;355;4.6;9.6;0.002670;0.439;97.750;59.539;0.30446
4645;Computer Assisted Language Learning;COMPUT ASSIST LANG L;0958-8221;544;1.722;1.630;1.797;0.276;29;7.1;>10.0;0.001070;0.554;100.000;88.407;0.12217
4645;Integrative Zoology;INTEGR ZOOL;1749-4877;576;1.722;1.598;1.696;0.98;49;4.2;>10.0;0.001790;0.571;81.630;76.708;0.20376
4645;Parkinsons Disease;PARKINSONS DIS-US;2090-8083;564;1.722;1.556;2.222;0.264;91;3.8;7.2;0.002250;0.613;82.420;32.902;0.25673
4645;Reproductive Biology;REPROD BIOL;1642-431X;515;1.722;1.711;1.515;0.148;27;5.9;>10.0;0.001090;0.428;96.300;29.310;0.12464
4652;AMERICAN JOURNAL OF COMPARATIVE LAW;AM J COMP LAW;0002-919X;647;1.721;1.465;1.216;0.542;24;>10.0;>10.0;0.001160;0.500;100.000;82.215;0.13191
4652;Journal of Nursing Management;J NURS MANAGE;0966-0429;2,420;1.721;1.534;2.338;0.223;112;5.9;8.3;0.004320;0.543;97.320;76.231;0.49292
4652;Journal of Nursing Management;J NURS MANAGE;0966-0429;2,420;1.721;1.534;2.338;0.223;112;5.9;8.3;0.004320;0.543;97.320;76.231;0.49292
4655;Behavioral and Brain Functions;BEHAV BRAIN FUNCT;1744-9081;1,429;1.720;1.667;2.661;0.108;37;5.9;9.1;0.003330;0.794;94.590;23.286;0.37904
4655;DEVELOPMENT AND CHANGE;DEV CHANGE;0012-155X;2,041;1.720;1.560;2.251;0.145;55;9.0;9.0;0.004860;1.119;90.910;79.091;0.55371
4655;POLYMER SCIENCE SERIES C;POLYM SCI SER C+;1811-2382;199;1.720;1.720;1.541;0.0;8;6.6;8.5;0.000360;0.387;0.000;54.706;0.04071
4658;BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY;BRIT J DEV PSYCHOL;0261-510X;2,049;1.719;1.531;2.304;0.632;38;>10.0;9.9;0.003190;1.019;100.000;48.551;0.36347
4658;MACHINE LEARNING;MACH LEARN;0885-6125;9,656;1.719;1.649;2.454;0.227;75;>10.0;9.6;0.006080;1.473;100.000;60.385;0.69315
4658;POLYMER ENGINEERING AND SCIENCE;POLYM ENG SCI;0032-3888;9,413;1.719;1.533;1.610;0.291;326;>10.0;>10.0;0.007300;0.328;98.160;54.357;0.83218
4658;Pervasive and Mobile Computing;PERVASIVE MOB COMPUT;1574-1192;1,008;1.719;1.521;2.366;0.407;108;4.2;6.8;0.003290;0.750;98.150;72.565;0.37469
4662;Infectious Agents and Cancer;INFECT AGENTS CANCER;1750-9378;477;1.718;1.600;Not Available;0.042;48;3.8;6.6;0.001780;Not Available;89.580;18.655;0.20301
4662;OBSTETRICAL & GYNECOLOGICAL SURVEY;OBSTET GYNECOL SURV;0029-7828;1,909;1.718;1.704;2.475;0.385;39;>10.0;8.0;0.002360;0.872;64.100;45.625;0.26919
4662;Patient Preference and Adherence;PATIENT PREFER ADHER;1177-889X;1,116;1.718;1.567;1.831;0.235;187;3.0;6.7;0.003870;0.496;88.240;64.839;0.44152
4665;ETHOLOGY;ETHOLOGY;0179-1613;3,972;1.717;1.617;1.870;0.371;124;9.5;>10.0;0.005870;0.629;95.160;48.338;0.66897
4665;Evaluation;EVALUATION-US;1356-3890;655;1.717;1.075;Not Available;0.387;31;7.7;7.9;0.000990;Not Available;100.000;88.947;0.11261
4665;INTERNATIONAL JOURNAL OF NEUROSCIENCE;INT J NEUROSCI;0020-7454;2,681;1.717;1.694;1.537;0.487;117;9.2;9.6;0.003580;0.398;87.180;23.633;0.40750
4668;CLEAN-Soil Air Water;CLEAN-SOIL AIR WATER;1863-0650;2,298;1.716;1.440;1.990;0.188;207;4.3;9.0;0.004450;0.353;97.580;55.164;0.50778
4668;EXPERIMENTAL AND TOXICOLOGIC PATHOLOGY;EXP TOXICOL PATHOL;0940-2993;1,965;1.716;1.649;2.059;0.5;64;5.5;9.9;0.003510;0.456;96.880;35.447;0.39969
4668;JOURNAL OF MATHEMATICAL BIOLOGY;J MATH BIOL;0303-6812;3,950;1.716;1.593;2.031;0.441;118;>10.0;>10.0;0.007100;0.978;100.000;65.168;0.80915
4671;CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS;CANCER BIOTHER RADIO;1084-9785;1,440;1.715;1.665;1.600;0.207;58;6.2;7.7;0.002500;0.391;98.280;32.028;0.28461
4672;GEODINAMICA ACTA;GEODIN ACTA;0985-3111;652;1.714;1.429;1.111;0.167;18;>10.0;>10.0;0.000290;0.353;83.330;52.989;0.03281
4672;MINERALS & METALLURGICAL PROCESSING;MINER METALL PROC;0747-9182;401;1.714;1.339;0.942;0.0;29;9.4;>10.0;0.000510;0.218;100.000;76.973;0.05854
4674;ANIMAL FEED SCIENCE AND TECHNOLOGY;ANIM FEED SCI TECH;0377-8401;7,741;1.713;1.435;2.324;0.224;214;9.1;>10.0;0.010160;0.698;96.260;83.621;1.15851
4674;APPLIED ERGONOMICS;APPL ERGON;0003-6870;3,831;1.713;1.340;2.107;0.481;183;8.2;>10.0;0.006130;0.605;98.360;73.779;0.69824
4674;APPLIED ERGONOMICS;APPL ERGON;0003-6870;3,831;1.713;1.340;2.107;0.481;183;8.2;>10.0;0.006130;0.605;98.360;73.779;0.69824
4674;American Journal of Mens Health;AM J MENS HEALTH;1557-9883;511;1.713;1.593;1.551;0.38;50;3.6;8.5;0.001940;0.520;98.000;64.379;0.22147
4674;Substance Abuse Treatment Prevention and Policy;SUBST ABUSE TREAT PR;1747-597X;643;1.713;1.575;2.030;0.106;47;4.8;7.2;0.001940;0.638;91.490;36.765;0.22111
4679;Global Health Action;GLOBAL HEALTH ACTION;1654-9880;1,230;1.712;1.546;1.996;0.469;145;2.7;6.3;0.005750;0.732;91.720;58.597;0.65506
4679;Global Health Action;GLOBAL HEALTH ACTION;1654-9880;1,230;1.712;1.546;1.996;0.469;145;2.7;6.3;0.005750;0.732;91.720;58.597;0.65506
4679;JOURNAL OF MEDICAL ENTOMOLOGY;J MED ENTOMOL;0022-2585;7,128;1.712;1.519;1.944;0.297;172;>10.0;>10.0;0.007020;0.544;98.260;79.687;0.80053
4682;HOLZFORSCHUNG;HOLZFORSCHUNG;0018-3830;3,903;1.711;1.207;1.794;0.414;133;>10.0;9.7;0.003090;0.351;95.490;83.820;0.35168
4682;JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES;J APPL RES INTELLECT;1360-2322;1,200;1.711;1.633;1.690;0.271;48;7.8;8.4;0.002000;0.539;89.580;74.969;0.22756
4682;POLAR BIOLOGY;POLAR BIOL;0722-4060;4,811;1.711;1.475;1.917;0.299;177;8.8;>10.0;0.007970;0.621;98.870;53.289;0.90790
4685;Journal of Environmental Planning and Management;J ENVIRON PLANN MAN;0964-0568;1,468;1.710;1.604;1.683;0.381;113;6.6;8.3;0.002710;0.486;98.230;58.173;0.30881
